"Province","airport_iata","attribution"
"Shandong Province","TAO",0.0777400891843711
"Shandong Province","RIZ",0.0537774625470514
"Shandong Province","WEF",0.109452827671314
"Shandong Province","WEH",0.0241418425598797
"Shandong Province","XUZ",0.020320227219383
"Shandong Province","YNT",0.0717441964167167
"Shanghai Municipality","NTG",0.0378087902563979
"Shanghai Municipality","PVG",0.240774452161028
"Shanghai Municipality","SHA",0.719954088493432
"Shanghai Municipality","SZV",0.00146216714235889
"Shanxi Province","ZQZ",0.00299686624818925
"Shanxi Province","HSJ",0.00749039323514607
"Shanxi Province","CIH",0.112422854138783
"Shanxi Province","DSN",0.00452831486295949
"Shanxi Province","DAT",0.118668135592593
"Shanxi Province","HET",0.0244036889841891
"Shanxi Province","LFQ",0.141556449833369
"Shanxi Province","LLV",0.160672338595119
"Shanxi Province","SJW",0.00820469531909449
"Shanxi Province","XNT",0.0166082446379601
"Shanxi Province","WUT",0.151971365800903
"Shanxi Province","YCU",0.0912795165879837
"Shanxi Province","TYN",0.128533680399671
"Shanxi Province","LYA",0.0205325844580387
"Shanxi Province","ENY",0.0101308998612479
"Sichuan Province","AHJ",0.101291101499285
"Sichuan Province","YUA",0.000542982909432827
"Sichuan Province","DZU",0.0103478491152867
"Sichuan Province","PZI",0.0318191417836907
"Sichuan Province","ZKL",0.0315077901020707
"Sichuan Province","BZX",0.0307114987623919
"Sichuan Province","GMQ",0.019623051257978
"Sichuan Province","NLH",0.0263825331695069
"Sichuan Province","AKA",0.00259423101659995
"Sichuan Province","HZG",0.0052378791881897
"Sichuan Province","GXH",0.00890179837455998
"Sichuan Province","DIG",0.00515170020851618
"Sichuan Province","ZAT",0.0118543319115277
"Sichuan Province","BPX",0.00807535120850264
"Sichuan Province","BFJ",0.00326108958576872
"Sichuan Province","CKG",0.0042215826655869
"Sichuan Province","DCY",0.111384852093959
"Sichuan Province","DAX",0.0295078597517806
"Sichuan Province","GHN",0.0257813630580573
"Sichuan Province","GYS",0.029541317131011
"Sichuan Province","JZH",0.0550647519775179
"Sichuan Province","KGT",0.120519127366441
